t=2026-07-02T10:54:48+0530 lvl=info msg="command usage" msg="Flag --region has been deprecated, ngrok automatically chooses the region with lowest latency"
t=2026-07-02T10:54:48+0530 lvl=info msg="no configuration paths supplied"
t=2026-07-02T10:54:48+0530 lvl=info msg="using configuration at default config path" path=C:\\Users\\Alex\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-07-02T10:54:48+0530 lvl=info msg="open config file" path=C:\\Users\\Alex\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-07-02T10:54:48+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-07-02T10:54:48+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-07-02T10:54:48+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-07-02T10:54:48+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-07-02T10:58:14+0530 lvl=info msg="join connections" obj=join id=acd2d25f6764 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:14+0530 lvl=info msg="join connections" obj=join id=bfe049bafe2f l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:14+0530 lvl=info msg="join connections" obj=join id=084e12b936ef l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:14+0530 lvl=info msg="join connections" obj=join id=aed0ab27a63d l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:14+0530 lvl=info msg="join connections" obj=join id=8e1fc93966fe l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:14+0530 lvl=info msg="join connections" obj=join id=ddd6523c61c0 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:14+0530 lvl=info msg="join connections" obj=join id=396ad5aaece5 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:14+0530 lvl=info msg="join connections" obj=join id=617f74c5ac7a l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:14+0530 lvl=info msg="join connections" obj=join id=39c8389c71dc l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:14+0530 lvl=info msg="join connections" obj=join id=424a0a56da97 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:14+0530 lvl=info msg="join connections" obj=join id=bb7d98d3bf7a l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:14+0530 lvl=info msg="join connections" obj=join id=205f4fe9c0a8 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:14+0530 lvl=info msg="join connections" obj=join id=916a6f66a3c9 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:14+0530 lvl=info msg="join connections" obj=join id=2e8de9a4c5b8 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:14+0530 lvl=info msg="join connections" obj=join id=6c84393bddb0 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:14+0530 lvl=info msg="join connections" obj=join id=0803c1824ce9 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:14+0530 lvl=info msg="join connections" obj=join id=9e96f30fe625 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:14+0530 lvl=info msg="join connections" obj=join id=d6f223e84f70 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:14+0530 lvl=info msg="join connections" obj=join id=5e0a154b8240 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
